id,file_path,human_count,living_creature_count
654,data/video-JhYLiFCieHQHaY8o7-frame-000000-xT7BXRKKyuWEsnywX.jpg,0,0
655,data/video-JhYLiFCieHQHaY8o7-frame-000300-guKooGzgx8fSSGQG7.jpg,0,0
656,data/video-JhYLiFCieHQHaY8o7-frame-000600-54cr88GJsdAyksdNj.jpg,0,0
657,data/video-JhYLiFCieHQHaY8o7-frame-000900-pdb96S7B7fgmguxPE.jpg,0,0
658,data/video-JhYLiFCieHQHaY8o7-frame-001200-n7sXgfg2LyFCYRzSc.jpg,1,1
659,data/video-JhYLiFCieHQHaY8o7-frame-001500-4dRaerqz2cJhjyCHA.jpg,4,4
660,data/video-JhYLiFCieHQHaY8o7-frame-001800-Y4M2pFGM8ihZLxsiC.jpg,2,2
661,data/video-JhYLiFCieHQHaY8o7-frame-001939-hi5sjhcipwC8mSxys.jpg,1,1
662,data/video-JhYLiFCieHQHaY8o7-frame-001954-GfjBZNEjrBeXHKcfH.jpg,1,1
663,data/video-JhYLiFCieHQHaY8o7-frame-001969-7XWqcePXpJQS63Jvt.jpg,1,1
664,data/video-JhYLiFCieHQHaY8o7-frame-001984-kvsec6NTvCMgwK8EP.jpg,1,1
665,data/video-JhYLiFCieHQHaY8o7-frame-001999-xkDLb8FJAjexxRkiQ.jpg,2,2
666,data/video-JhYLiFCieHQHaY8o7-frame-002014-MdJma5NAqQ7aJmdXT.jpg,2,2
667,data/video-JhYLiFCieHQHaY8o7-frame-002029-XufwfH5rDYZKEjfAT.jpg,2,2
668,data/video-JhYLiFCieHQHaY8o7-frame-002105-GyDw3psScgz5EXhqE.jpg,4,4
669,data/video-JhYLiFCieHQHaY8o7-frame-002120-Qh7785GJsGBY2dvgb.jpg,6,6
670,data/video-JhYLiFCieHQHaY8o7-frame-002135-YFWqzfhMeGENK9hwC.jpg,8,8
671,data/video-JhYLiFCieHQHaY8o7-frame-002150-yuLaeCPQ56qZj3yK2.jpg,5,5
672,data/video-JhYLiFCieHQHaY8o7-frame-002165-gNqHsApQmxpRofwGh.jpg,4,4
673,data/video-JhYLiFCieHQHaY8o7-frame-002180-6BQPmDXrQFmamnNPy.jpg,3,3
674,data/video-JhYLiFCieHQHaY8o7-frame-002195-t9p9hLssbg77DLqxH.jpg,4,4
675,data/video-JhYLiFCieHQHaY8o7-frame-002210-b4meqJCTQMQquCNcM.jpg,4,4
676,data/video-JhYLiFCieHQHaY8o7-frame-002225-mmtt6AEj7rw4apcGq.jpg,3,3
677,data/video-JhYLiFCieHQHaY8o7-frame-002240-k7jsfrZt8EpWmuWiE.jpg,2,2
678,data/video-JhYLiFCieHQHaY8o7-frame-002255-7vjCfCiKZqLZpN9iR.jpg,1,1
679,data/video-JhYLiFCieHQHaY8o7-frame-002270-jqmBS9YEg4iZd8KMt.jpg,1,1
680,data/video-JhYLiFCieHQHaY8o7-frame-002285-vi4SqqYCw9j67ttjk.jpg,0,0
681,data/video-JhYLiFCieHQHaY8o7-frame-002300-K67t4druY4cBJhCN7.jpg,0,0
682,data/video-JhYLiFCieHQHaY8o7-frame-002315-QPQmTWJh5xgMu2esR.jpg,0,0
683,data/video-JhYLiFCieHQHaY8o7-frame-002330-AuxsGKbGukKXt8br4.jpg,0,0
684,data/video-JhYLiFCieHQHaY8o7-frame-002345-gezMbL8vQxjMjPN8H.jpg,0,0
685,data/video-JhYLiFCieHQHaY8o7-frame-002360-Lrc6epJ2rmixCMNX4.jpg,0,0
686,data/video-JhYLiFCieHQHaY8o7-frame-002375-iiMd3chYJp5ixydu2.jpg,0,0
687,data/video-JhYLiFCieHQHaY8o7-frame-002390-cTxJ3gvgrzcqKzSrG.jpg,1,1
